"bluestock_fintech_—_nifty_100__|__documents__|__1,585_records",unnamed:_1,unnamed:_2,unnamed:_3,year_label,fiscal_year,quarter,is_ttm,is_half_year,sort_order
236,BAJFINANCE,2013,https://www.bseindia.com/bseplus/AnnualReport/500034/5000340313.pdf,236,,,False,False,0
237,BAJFINANCE,2012,https://www.bseindia.com/bseplus/AnnualReport/500034/5000340312.pdf,237,,,False,False,0
238,BAJFINANCE,2011,https://www.bseindia.com/bseplus/AnnualReport/500034/5000340311.pdf,238,,,False,False,0
239,BAJFINANCE,2010,Null,239,,,False,False,0
240,BAJFINANCE,2009,Null,240,,,False,False,0
241,BANKBARODA,2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/aeebbed0-a043-4a00-b350-40a58eb996c9.pdf,241,,,False,False,0
242,BANKBARODA,2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//5e7191ef-8de8-4aa3-8118-93fd1fa83426.pdf,242,,,False,False,0
243,BANKBARODA,2022,https://www.bseindia.com/bseplus/AnnualReport/532134/73079532134_23_09_22.pdf,243,,,False,False,0
244,BANKBARODA,2021,https://www.bseindia.com/bseplus/AnnualReport/532134/68567532134.pdf,244,,,False,False,0
245,BANKBARODA,2020,https://www.bseindia.com/bseplus/AnnualReport/532134/5321340320.pdf,245,,,False,False,0
246,BANKBARODA,2019,https://www.bseindia.com/bseplus/AnnualReport/532134/5321340319.pdf,246,,,False,False,0
247,BANKBARODA,2018,https://www.bseindia.com/bseplus/AnnualReport/532134/5321340318.pdf,247,,,False,False,0
248,BANKBARODA,2017,https://www.bseindia.com/bseplus/AnnualReport/532134/5321340317.pdf,248,,,False,False,0
249,BANKBARODA,2016,https://www.bseindia.com/bseplus/AnnualReport/532134/5321340316.pdf,249,,,False,False,0
250,BANKBARODA,2015,https://www.bseindia.com/bseplus/AnnualReport/532134/5321340315.pdf,250,,,False,False,0
251,BANKBARODA,2014,https://www.bseindia.com/bseplus/AnnualReport/532134/5321340314.pdf,251,,,False,False,0
