id,company_id,year,annual_report
553,HAL,2016,https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2016/HINDUSTAN_AERONAUTICS_LTD-541154-MARCH-2016.PDF
554,HAL,2015,https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2015/HINDUSTAN_AERONAUTICS_LTD-541154-MARCH-2015.PDF
555,HAL,2014,https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2014/HINDUSTAN_AERONAUTICS_LTD-541154-MARCH-2014.PDF
556,HAL,2013,https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2013/HINDUSTAN_AERONAUTICS_LTD-541154-MARCH-2013.PDF
557,HAL,2012,https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2012/HINDUSTAN_AERONAUTICS_LTD-541154-MARCH-2012.PDF
558,HAL,2011,
559,HAL,2011,https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2011/HINDUSTAN_AERONAUTICS_LTD-541154-MARCH-2011.PDF
560,HAL,2010,https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2010/HINDUSTAN_AERONAUTICS_LTD-541154-MARCH-2010.PDF
561,HAL,2009,
562,HAVELLS,2022,https://www.bseindia.com/bseplus/AnnualReport/517354/73180517354.pdf
563,HAVELLS,2021,https://www.bseindia.com/bseplus/AnnualReport/517354/68504517354_14_09_21.pdf
564,HAVELLS,2020,https://www.bseindia.com/bseplus/AnnualReport/517354/5173540320.pdf
565,HAVELLS,2019,https://www.bseindia.com/bseplus/AnnualReport/517354/5173540319.pdf
566,HAVELLS,2018,https://www.bseindia.com/bseplus/AnnualReport/517354/5173540318.pdf
567,HAVELLS,2017,https://www.bseindia.com/bseplus/AnnualReport/517354/5173540317.pdf
568,HAVELLS,2016,https://www.bseindia.com/bseplus/AnnualReport/517354/5173540316.pdf
569,HAVELLS,2015,https://www.bseindia.com/bseplus/AnnualReport/517354/5173540315.pdf
570,HAVELLS,2014,https://www.bseindia.com/bseplus/AnnualReport/517354/5173540314.pdf
571,HAVELLS,2013,https://www.bseindia.com/bseplus/AnnualReport/517354/5173540313.pdf
572,HAVELLS,2012,https://www.bseindia.com/bseplus/AnnualReport/517354/5173540312.pdf
573,HAVELLS,2011,https://www.bseindia.com/bseplus/AnnualReport/517354/5173540311.pdf
574,HAVELLS,2010,
575,HAVELLS,2009,
576,HCLTECH,2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ea5d9753-2bef-4e01-a344-51e7f5506153.pdf
577,HCLTECH,2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//e7b8d757-92a5-423c-a450-3d4fb68e6b6e.pdf
578,HCLTECH,2022,https://www.bseindia.com/bseplus/AnnualReport/532281/73863532281.pdf
579,HCLTECH,2021,https://www.bseindia.com/bseplus/AnnualReport/532281/69289532281.pdf
580,HCLTECH,2020,https://www.bseindia.com/bseplus/AnnualReport/532281/66229532281.pdf
581,HCLTECH,2019,https://www.bseindia.com/bseplus/AnnualReport/532281/5322810319.pdf
